,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
230,0.02499418258666992,0.007653214915711887,0.0,0.0,0.001,"(25,)",4,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 4}",0.25,0.25,0.24999999999999994,0.2499999999999999,0.25,0.25,5.487307082371866e-17,196,0.25,0.25000000000000006,0.25,0.25,0.25,0.25,2.482534153247273e-17
231,0.04338507652282715,0.02377956689581782,0.0001994609832763672,0.0003989219665527344,0.001,"(25,)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 5}",0.25,0.24324324324324323,0.2499999999999999,0.49305555555555525,0.25,0.2958322608322607,0.09688353293933373,13,0.25,0.25000000000000006,0.28995433789954334,0.25,0.25,0.25799086757990863,0.01598173515981733
232,0.04061522483825684,0.007653098110482774,0.0,0.0,0.001,"(25,)",6,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 6}",0.25,0.2151767151767152,0.2922008547008546,0.20138888888888876,0.25,0.2418320793320793,0.03159167870316314,377,0.25,0.2372413793103449,0.2521917808219178,0.23690572119258663,0.2546669352672576,0.2462011633184214,0.007598301477071481
233,0.07823038101196289,0.044939680813347566,0.00020389556884765626,0.0004077911376953125,0.001,"(25,)",7,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 7}",0.23076923076923078,0.25,0.24999999999999994,0.2499999999999999,0.25,0.24604395604395604,0.0077735117291548765,317,0.25,0.25000000000000006,0.25,0.25,0.24509803921568624,0.24901960784313726,0.001960784313725511
234,0.07927823066711426,0.03927940760422188,0.0031241893768310545,0.006248378753662109,0.001,"(25,)",8,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 8}",0.23076923076923078,0.25,0.24999999999999994,0.2499999999999999,0.25,0.24604395604395604,0.0077735117291548765,317,0.25,0.25000000000000006,0.25,0.25,0.24509803921568624,0.24901960784313726,0.001960784313725511
235,0.07994608879089356,0.04040758216814762,0.0031241893768310545,0.006248378753662109,0.001,"(25,)",9,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 9}",0.23076923076923078,0.25,0.24999999999999994,0.2499999999999999,0.25,0.24604395604395604,0.0077735117291548765,317,0.25,0.25000000000000006,0.25,0.25,0.24509803921568624,0.24901960784313726,0.001960784313725511
236,0.07542567253112793,0.03659426392662258,0.0,0.0,0.001,"(25,)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 10}",0.23076923076923078,0.25,0.24999999999999994,0.2499999999999999,0.25,0.24604395604395604,0.0077735117291548765,317,0.25,0.25000000000000006,0.25,0.25,0.24509803921568624,0.24901960784313726,0.001960784313725511
237,0.08089265823364258,0.04278027628833275,0.0001994609832763672,0.00039892196655273444,0.001,"(25,)",15,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 15}",0.23076923076923078,0.25,0.24999999999999994,0.2499999999999999,0.25,0.24604395604395604,0.0077735117291548765,317,0.25,0.25000000000000006,0.25,0.25,0.24509803921568624,0.24901960784313726,0.001960784313725511
238,0.07777523994445801,0.035923950417520965,0.0001994609832763672,0.0003989219665527344,0.001,"(25,)",20,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 20}",0.23076923076923078,0.25,0.24999999999999994,0.2499999999999999,0.25,0.24604395604395604,0.0077735117291548765,317,0.25,0.25000000000000006,0.25,0.25,0.24509803921568624,0.24901960784313726,0.001960784313725511
239,0.08435521125793458,0.03774509531681782,0.0,0.0,0.001,"(25,)",25,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 25}",0.23076923076923078,0.25,0.24999999999999994,0.2499999999999999,0.25,0.24604395604395604,0.0077735117291548765,317,0.25,0.25000000000000006,0.25,0.25,0.24509803921568624,0.24901960784313726,0.001960784313725511
240,0.07234086990356445,0.03397536252577793,0.0,0.0,0.001,"(25,)",30,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 30}",0.23076923076923078,0.25,0.24999999999999994,0.2499999999999999,0.25,0.24604395604395604,0.0077735117291548765,317,0.25,0.25000000000000006,0.25,0.25,0.24509803921568624,0.24901960784313726,0.001960784313725511
241,0.07561936378479003,0.030708975114555268,0.0031241416931152345,0.006248283386230469,0.001,"(25,)",35,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 35}",0.23076923076923078,0.25,0.24999999999999994,0.2499999999999999,0.25,0.24604395604395604,0.0077735117291548765,317,0.25,0.25000000000000006,0.25,0.25,0.24509803921568624,0.24901960784313726,0.001960784313725511
242,0.07809867858886718,0.03276343685122725,0.0,0.0,0.001,"(25,)",40,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 40}",0.23076923076923078,0.25,0.24999999999999994,0.2499999999999999,0.25,0.24604395604395604,0.0077735117291548765,317,0.25,0.25000000000000006,0.25,0.25,0.24509803921568624,0.24901960784313726,0.001960784313725511
243,0.07498292922973633,0.03616601293123528,0.0,0.0,0.001,"(25,)",45,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 45}",0.23076923076923078,0.25,0.24999999999999994,0.2499999999999999,0.25,0.24604395604395604,0.0077735117291548765,317,0.25,0.25000000000000006,0.25,0.25,0.24509803921568624,0.24901960784313726,0.001960784313725511
244,0.07836928367614746,0.03848234636595541,0.0,0.0,0.001,"(25,)",50,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 50}",0.23076923076923078,0.25,0.24999999999999994,0.2499999999999999,0.25,0.24604395604395604,0.0077735117291548765,317,0.25,0.25000000000000006,0.25,0.25,0.24509803921568624,0.24901960784313726,0.001960784313725511
245,0.08466162681579589,0.03086688764468116,0.0,0.0,0.001,"(25,)",55,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 55}",0.23076923076923078,0.25,0.24999999999999994,0.2499999999999999,0.25,0.24604395604395604,0.0077735117291548765,317,0.25,0.25000000000000006,0.25,0.25,0.24509803921568624,0.24901960784313726,0.001960784313725511
246,0.08115968704223633,0.035219221333505614,0.00019936561584472657,0.00039873123168945315,0.001,"(25,)",60,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 60}",0.23076923076923078,0.25,0.24999999999999994,0.2499999999999999,0.25,0.24604395604395604,0.0077735117291548765,317,0.25,0.25000000000000006,0.25,0.25,0.24509803921568624,0.24901960784313726,0.001960784313725511
247,0.03749103546142578,0.007653117571707606,0.0062485218048095705,0.007652845034590424,0.001,"(25, 25)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 2}",0.25,0.25,0.2499999999999999,0.24999999999999983,0.25,0.24999999999999997,7.480041190591211e-17,276,0.25,0.25000000000000006,0.25,0.25,0.25,0.25,2.482534153247273e-17
248,0.03252940177917481,0.002573587210971364,0.0001995086669921875,0.000399017333984375,0.001,"(25, 25)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 3}",0.25000000000000006,0.25,0.24999999999999994,0.2499999999999999,0.25,0.25,6.037350400778013e-17,196,0.25,0.25000000000000006,0.25,0.25,0.25,0.25,2.482534153247273e-17
